year,award,outcome,title,author,published
1997,Best Short Story,Finalist,“The Dead”,Michael Swanwick,no publishing information available
1997,Best Short Story,Finalist,“Burning Bright”,K. D. Wentworth,no publishing information available
1997,Best Short Story,Winner,“Sister Emily’s Lightship”,Jane Yolen,no publishing information available
1996,Best Novel,Winner,Slow River,Nicola Griffith,Ballantine Del Rey
1996,Best Novel,Finalist,The Silent Strength of Stones,Nina Kiriki Hoffman,AvoNova
1996,Best Novel,Finalist,Winter Rose,Patricia A. Mckillip,Ace
1996,Best Novel,Finalist,Expiration Date,Tim Powers,Tor
1996,Best Novel,Finalist,Starplex,Robert J. Sawyer,Analog
1996,Best Novel,Finalist,The Diamond Age,Neal Stephenson,Bantam Spectra
1996,Best Novella,Winner,“Da Vinci Rising”,Jack Dann,Asimov’s Magazine
1996,Best Novella,Finalist,“A Woman’s Liberation”,Ursula K. Le Guin,Asimov’s Magazine
1996,Best Novella,Finalist,“Blood of the Dragon”,George R. R. Martin,Asimov’s Magazine
1996,Best Novella,Finalist,“Time Travelers Never Die”,Jack Mcdevitt,Asimov’s Magazine
1996,Best Novella,Finalist,“The Cost to be Wise”,Maureen F. Mchugh,no publishing information available
1996,Best Novella,Finalist,“The Death of Captain Future”,Allen Steele,Asimov’s Magazine
1996,Best Novelette,Finalist,“Erase/Record/Play”,John M. Ford,no publishing information available
1996,Best Novelette,Finalist,“Mirror of Lop Nor”,George Guthridge,no publishing information available
1996,Best Novelette,Finalist,“The Chronology Protection Case”,Paul Levinson,Analog
1996,Best Novelette,Winner,“Lifeboat on a Burning Sea”,Bruce Holland Rogers,The Magazine of Fantasy and Science Fiction
1996,Best Novelette,Finalist,“Must and Shall”,Harry Turtledove,Asimov’s Magazine
1996,Best Novelette,Finalist,“The Perseids”,Robert Charles Wilson,Realms of Fantasy
1996,Best Novelette,Finalist,“After a Lean Winter”,Dave Wolverton,The Magazine of Fantasy and Science Fiction
1996,Best Short Story,Finalist,"“In the Pound, Near Breaktime”",Kent Brewster,no publishing information available
1996,Best Short Story,Winner,“A Birthday”,Esther M. Friesner,The Magazine of Fantasy and Science Fiction
1996,Best Short Story,Finalist,“The String”,Kathleen Ann Goonan,The Magazine of Fantasy and Science Fiction
1996,Best Short Story,Finalist,“Five Fucks”,Jonathan Lethem,no publishing information available
