year,award,outcome,title,author,published
2005,Best Novel,1,Jonathan Strange & Mr. Norrell,Susanna Clarke,"Bloomsbury, 2004"
2005,Best Novel,2,River of Gods,Ian Mcdonald,"Simon & Schuster UK, 2004"
2005,Best Novel,3,The Algebraist,Iain M. Banks,"Orbit, 2004"
2005,Best Novel,4,Iron Sunrise,Charles Stross,"Ace, 2004"
2005,Best Novel,5,Iron Council,China Miéville,"Del Rey, 2004; Macmillan UK, 2004"
2005,Best Novella,1,“The Concrete Jungle”,Charles Stross,"The Atrocity Archives (Golden Gryphon Press), 2004"
2005,Best Novella,2,“Sergeant Chip”,Bradley Denton,F&SF Sep 2004
2005,Best Novella,3,“Elector”,Charles Stross,Asimov’s Sep 2004
2005,Best Novella,4,“Winterfair Gifts”,Lois Mcmaster Bujold,"Irresistible Forces (NAL), 2004"
2005,Best Novella,5,“Time Ablaze”,Michael A. Burstein,Analog Jun 2004
2005,Best Novelette,1,“The Faery Handbag”,Kelly Link,"The Faery Reel (Viking), 2004"
2005,Best Novelette,2,“The Clapping Hands of God”,Michael F. Flynn,Analog Jul/Aug 2004
2005,Best Novelette,3,“The People of Sand and Slag”,Paolo Bacigalupi,F&SF Feb 2004
2005,Best Novelette,4,"“Biographical Notes to ‘A Discourse on the Nature of Causality, with Air-Planes’",Benjamin Rosenbaum,"All-Star Zeppelin Adventure Stories (Wheatland Press), 2004"
2005,Best Novelette,5,“The Voluntary State”,Christopher Rowe,"Sci Fiction, scifi.com 2004-05-05"
2005,Best Short Story,1,“Travels with My Cats”,Mike Resnick,Asimov’s Feb 2004
2005,Best Short Story,2,“The Best Christmas Ever”,James Patrick Kelly,"Sci Fiction, scifi.com 2004-05-26"
2005,Best Short Story,3,“A Princess of Earth”,Mike Resnick,Asimov’s Dec 2004
2005,Best Short Story,4,“Shed Skin”,Robert J. Sawyer,Analog Jan/Feb 2004
2005,Best Short Story,5,“Decisions”,Michael A. Burstein,Analog Jan/Feb 2004
2004,Best Novel,1,Paladin of Souls,Lois Mcmaster Bujold,"Eos, 2003"
2004,Best Novel,2,Ilium,Dan Simmons,"Subterranean, 2003; Eos, 2003; Gollancz, 2003"
2004,Best Novel,3,Singularity Sky,Charles Stross,"Ace, 2003"
2004,Best Novel,4,Blind Lake,Robert Charles Wilson,"Tor, 2003"
2004,Best Novel,5,Humans,Robert J. Sawyer,"Tor, 2003"
2004,Best Novella,1,“The Cookie Monster”,Vernor Vinge,Analog Oct 2003
2004,Best Novella,2,“The Empress of Mars”,Kage Baker,Asimov’s Jul 2003
2004,Best Novella,3,“Just Like the Ones We Used to Know”,Connie Willis,Asimov’s Dec 2003
2004,Best Novella,4,“The Green Leopard Plague”,Walter Jon Williams,Asimov’s Oct/Nov 2003
2004,Best Novella,5,“Walk in Silence”,Catherine Asaro,Analog Apr 2003
2004,Best Novelette,1,“Legions in Time”,Michael Swanwick,Asimov’s Apr 2003
2004,Best Novelette,2,“The Empire of Ice Cream”,Jeffrey Ford,"Sci Fiction, scifi.com 2003-02-26"
2004,Best Novelette,3,“Nightfall”,Charles Stross,Asimov’s Apr 2003
2004,Best Novelette,4,“Into the Gardens of Sweet Night”,Jay Lake,"Writers of the Future XIX, ed. by Algis Budrys (Galaxy Press), 2003"
2004,Best Novelette,5,“Bernardo’s House”,James Patrick Kelly,Asimov’s Jun 2003
2004,Best Novelette,6,“Hexagons”,Robert Reed,Asimov’s Jul 2003
2004,Best Short Story,1,“A Study in Emerald”,Neil Gaiman,"Shadows Over Baker Street, ed. by Michael Reaves & John Pelan (Del Rey), 2003"
2004,Best Short Story,2,“Paying It Forward”,Michael A. Burstein,Analog Sep 2003
2004,Best Short Story,3,“Robots Don’t Cry”,Mike Resnick,Asimov’s Jul 2003
2004,Best Short Story,4,“Four Short Novels”,Joe Haldeman,F&SF Oct/Nov 2003
2004,Best Short Story,5,“The Tale of the Golden Eagle”,David D. Levine,F&SF Jun 2003
2003,Best Novel,1,Hominids,Robert J. Sawyer,"Analog Jan,Feb,Mar,Apr 2002; Tor, 2002"
2003,Best Novel,2,Kiln People (alt: Kil’n People),David Brin,"Tor, 2002"
2003,Best Novel,3,Bones of the Earth,Michael Swanwick,"Eos, 2002"
2003,Best Novel,4,The Scar,China Miéville,"Del Rey, Jun 2002; Macmillan, 2002"
2003,Best Novel,5,The Years of Rice and Salt,Kim Stanley Robinson,"Bantam, 2002"
2003,Best Novella,1,“Coraline”,Neil Gaiman,"HarperCollins, Jul 2002"
2003,Best Novella,2,“Bronte’s Egg”,Richard Chwedyk,F&SF Aug 2002
2003,Best Novella,3,“Breathmoss”,Ian R. Macleod,Asimov’s May 2002
2003,Best Novella,4,“A Year in the Linear City”,Paul Di Filippo,"PS Publishing, 2002"
2003,Best Novella,5,“The Political Officer”,Charles Coleman Finlay,F&SF Apr 2002
2003,Best Novella,6,“In Spirit”,Pat Forde,Analog Sep 2002
2003,Best Novelette,1,“Slow Life”,Michael Swanwick,Analog Dec 2002
2003,Best Novelette,2,“The Wild Girls”,Ursula K. Le Guin,Asimov’s Mar 2002
2003,Best Novelette,3,“Halo”,Charles Stross,Asimov’s Jun 2002
2003,Best Novelette,4,“Presence”,Maureen F. Mchugh,F&SF Mar 2002
