year,award,outcome,title,author,published
2015,Best Short Story,8,I Met a Man Who Wasn't There, K. J. Parker ,Subterranean Win 2014
2015,Best Short Story,9,Invisible Planets, Hannu Rajaniemi ,Reach for Infinity
2015,Best Short Story,10,Passage of Earth, Michael Swanwick ,Clarkesworld Apr 2014
2015,Best Short Story,11,The Vaporization Enthalpy of a Peculiar Pakistani Family, Usman T. Malik ,Qualia Nous
2015,Best Short Story,12,Mothers, Lock Up Your Daughters Because They Are Terrifying”,Monstrous Affections; Tin House #61
2015,Best Short Story,13,Left Foot, Right”,Monstrous Affections
2015,Best Short Story,14,The Unfathomable Sisterhood of Ick, Charlie Jane Anders ,Lightspeed Jun 2014
2015,Best Short Story,15,How to Get Back to the Forest, Sofia Samatar ,Lightspeed Mar 2014
2015,Best Short Story,16,The Long Haul From the ANNALS OF TRANSPORTATION, The Pacific Monthly,Clarkesworld Nov 2014
2015,Best Short Story,17,Moriabe's Children, Paolo Bacigalupi ,Monstrous Affections
2015,Best Short Story,18,The Lady and the Fox, Kelly Link ,My True Love Gave to Me
2015,Best Short Story,19,Someday, James Patrick Kelly ,Asimov's Apr/May 2014
2015,Best Short Story,20,The Contemporary Foxwife, Yoon Ha Lee ,Clarkesworld Jul 2014
2015,Best Short Story,21,Amicae Aeternum, Ellen Klages ,Reach for Infinity
2015,Best Short Story,22,Hibbler's Minions, Jeffrey Ford ,Nightmare Carnival
2015,Best Short Story,23,The Scrivener, Eleanor Arnason ,Subterranean Win 2014
2015,Best Short Story,24,The Instructive Tale of the Archaeologist and His Wife, Alexander Jablokov ,Asimov's Jul 2014
2015,Best Short Story,25,Pernicious Romance, Robert Reed ,Clarkesworld Nov 2014
2015,Best Short Story,26,Combustion Hour, Yoon Ha Lee ,Tor.com 18 Jun 2014
2015,Best Short Story,27,Shay Corsham Worsted, Garth Nix ,Fearful Symmetries
2015,Best Short Story,28,Nanny Anne and the Christmas Story, Karen Joy Fowler ,Subterranean Win 2014
2015,Best Short Story,29,A Stretch of Highway Two Lanes Wide, Sarah Pinsker ,F&SF; Mar/Apr 2014
2015,Best Short Story,30,The Days of the War, As Red As Blood,Subterranean Spr 2014
2015,Best Short Story,31,The Tallest Doll in New York City, Maria Dahvana Headley ,Tor.com 14 Feb 2014
2015,Best Short Story,32,Sadness, Timons Esaias ,Analog Jul/Aug 2014
2015,Best Short Story,33,Cimmeria: From the Journal of Imaginary Anthropology, Theodora Goss ,Lightspeed Jul 2014
2015,Best Short Story,34,The Walking-Stick Forest, Anna Tambour ,Tor.com 21 May 2014
2015,Best Short Story,35,Vladimir Chong Chooses to Die, Lavie Tidhar ,Analog Sep 2014
2015,Best Short Story,36,Aberration, Genevieve Valentine ,Fearsome Magics
2014,Best SF Novel,1,Abaddon's Gate, James S. A. Corey ,Orbit
2014,Best SF Novel,2,Shaman, Kim Stanley Robinson ,Orbit
2014,Best SF Novel,3,Neptune's Brood, Charles Stross ,Ace; Orbit UK
2014,Best SF Novel,4,MaddAddam, Margaret Atwood ,McClelland & Stewart; Bloomsbury; Talese
2014,Best SF Novel,5,The Best of All Possible Worlds, Karen Lord ,Del Rey; Jo Fletcher UK
2014,Best SF Novel,6,Protector, C. J. Cherryh ,DAW
2014,Best SF Novel,7,On the Steel Breeze, Alastair Reynolds ,Gollancz
2014,Best SF Novel,8,The Adjacent, Christopher Priest ,Gollancz
2014,Best SF Novel,9,Burning Paradise, Robert Charles Wilson ,Tor
2014,Best SF Novel,10,The Red: First Light, Linda Nagata ,Mythic Island
